solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
3162,51.53,13.44,16.51,5.37,4.56
3269,52.33,13.32,16.69,5.41,4.62
3220,52.05,13.14,16.26,5.41,4.71
3165,54.59,13.24,16.37,5.38,4.63
3188,52.29,13.66,16.62,5.35,4.64
