solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
1727,13.7,14.68,16.21,4.46,4.01
1746,12.47,14.68,15.83,4.89,4.39
1779,11.98,15.78,16.6,4.84,4.12
1661,13.39,15.15,16.64,4.87,4.37
1682,14.49,14.29,15.46,4.76,4.23
