solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
1251,6.69,15.89,15.66,4.64,4.13
1222,7.29,15.16,15.7,4.51,3.98
1188,6.77,14.42,15.01,4.56,4.03
1169,6.72,13.79,14.76,4.6,4.21
1185,6.89,14.3,14.8,4.62,4.03
1178,6.01,13.9,14.83,4.56,4.1
1143,6.23,14.35,15.65,4.64,4.01
