solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
2654,28.28,13.43,16.03,5.04,4.35
2626,29.1,13.75,16.11,5.22,4.5
2740,28.77,14.13,16.64,5.19,4.39
2745,28.18,13.31,16.16,4.9,4.24
2750,27.86,14.68,17.04,5.2,4.52
