solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
4263,329.91,9.32,15.02,6.08,5.16
4282,331.98,9.18,15.03,6.18,5.28
4335,329.59,9.4,15.15,6.25,5.35
4231,330.58,9.12,14.91,6.1,5.16
4316,329.82,9.21,15.12,6.26,5.33
