solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
2740,25.94,15.06,16.87,5.16,4.49
2495,24.92,14.74,16.9,5.04,4.49
2676,24.71,14.58,16.57,5.15,4.56
2651,25.22,14.57,16.55,5.08,4.43
2617,25.06,14.64,16.74,5.13,4.35
