solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
2210,19.84,15.02,16.64,4.84,4.27
2220,18.4,15.2,16.38,5.24,4.32
2261,17.35,15.34,17.16,5.0,4.49
2312,16.8,15.28,16.61,5.13,4.48
2028,16.82,14.27,16.34,4.82,4.21
