solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
4092,262.31,9.58,15.17,5.87,5.02
4232,257.45,9.67,15.33,6.14,5.23
4181,256.71,9.67,15.17,6.11,5.2
4150,253.77,9.42,14.91,5.99,5.17
4205,254.62,10.02,15.42,6.09,5.17
