solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
4401,371.96,9.11,15.09,6.38,5.3
4342,373.55,8.58,14.65,6.21,5.19
4321,369.31,8.86,14.92,6.18,5.26
4263,363.56,9.18,15.05,6.14,5.23
4241,364.19,9.02,15.09,6.1,5.17
