solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
3217,55.25,12.71,16.39,5.39,4.63
3331,55.12,13.6,16.89,5.43,4.65
3348,55.13,13.03,16.49,5.47,4.68
3380,55.13,13.26,16.48,5.44,4.74
3260,54.96,13.06,16.53,5.39,4.64
