solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
2855,30.63,14.52,16.71,5.32,4.59
2809,30.74,14.07,16.57,5.04,4.32
2773,31.01,13.22,16.07,5.03,4.33
2870,30.82,14.38,17.06,5.27,4.55
2895,30.48,13.8,16.56,5.28,4.62
