solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
4475,535.75,7.79,14.15,6.28,5.35
4471,606.07,8.04,14.53,6.3,5.3
4478,599.88,7.82,14.28,6.3,5.37
4482,596.35,7.73,14.37,6.41,5.4
4554,521.56,8.13,14.85,6.52,5.42
