solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
4368,400.41,8.19,14.59,6.28,5.33
4428,401.06,8.43,14.75,6.24,5.31
4397,402.9,8.54,14.79,6.25,5.22
4438,398.5,8.25,14.42,6.25,5.32
4389,403.95,7.84,14.17,6.22,5.32
