solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
4531,469.33,8.19,14.65,6.39,5.4
4459,468.94,8.12,14.5,6.33,5.27
4483,470.26,8.0,14.49,6.28,5.35
4470,468.85,7.98,14.51,6.29,5.33
4486,468.66,8.08,14.67,6.4,5.38
