solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
4472,539.39,7.61,14.11,6.37,5.38
4461,684.5,7.67,14.24,6.34,5.33
4548,712.88,7.93,14.58,6.41,5.43
4496,710.02,7.76,14.33,6.27,5.35
4443,718.65,7.53,13.95,6.33,5.28
