solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
3330,53.86,13.34,16.58,5.44,4.71
3168,57.06,12.35,16.07,5.15,4.52
3186,56.56,12.95,16.43,5.28,4.53
3197,55.21,12.62,16.03,5.41,4.54
3102,52.22,13.5,16.66,5.26,4.53
