solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
3828,119.95,11.12,15.95,5.7,4.86
3820,120.87,10.44,15.2,5.69,4.85
3833,122.13,10.3,15.24,5.8,4.99
3872,119.81,10.44,15.3,5.74,5.01
3842,144.9,11.02,15.63,5.68,4.87
