solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
3407,57.62,14.09,17.02,5.64,4.7
3347,57.59,12.58,16.22,5.4,4.72
3337,58.05,13.3,16.58,5.29,4.6
3328,57.26,13.07,16.66,5.32,4.59
3364,58.56,12.76,16.2,5.43,4.64
