solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
2313,19.24,14.78,16.59,4.78,4.31
2166,19.35,13.65,16.06,4.92,4.34
2359,20.89,15.04,16.63,5.0,4.45
2270,19.15,14.96,16.76,4.96,4.27
2282,19.63,14.84,16.88,4.67,4.22
