solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
1468,10.41,14.78,16.21,4.77,4.21
1383,9.95,14.61,15.83,4.45,3.99
1509,10.36,14.78,15.78,4.74,4.2
1415,10.06,15.18,15.79,4.79,4.31
1540,9.85,15.99,16.57,4.8,4.2
