solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
4378,331.87,8.56,14.75,6.19,5.24
4382,332.33,8.93,15.07,6.3,5.26
4354,340.31,8.56,14.7,6.22,5.3
4337,341.39,8.36,14.41,6.21,5.29
4345,346.99,8.5,14.67,6.19,5.17
