sols_found,runtime_mean,fitness_mean,fitness_std,met_mean,met_std,dur_mean,dur_std,count_mean,count_std
522,1853.07,18.9,16.5,4.72,5.02,213.83,237.39,1.66,1.21
544,2541.25,21.11,17.47,4.43,4.84,222.64,245.14,1.62,1.26
497,1722.64,19.51,17.27,4.41,4.81,221.48,245.1,1.71,1.33
456,3675.49,21.37,17.93,4.77,4.92,224.35,241.7,1.75,1.3
469,2186.32,18.94,16.18,4.54,4.81,228.36,248.06,1.73,1.3
