sols_found,runtime_mean,fitness_mean,fitness_std,met_mean,met_std,dur_mean,dur_std,count_mean,count_std
490,5597.2,20.44,17.06,4.75,5.01,224.49,248.2,1.66,1.23
443,4969.79,20.75,17.16,4.8,5.04,232.9,248.98,1.94,1.32
564,7788.37,20.74,17.84,4.69,5.07,207.1,229.66,1.55,1.2
428,6818.27,19.28,16.93,4.5,4.65,208.03,226.13,1.76,1.53
571,6065.34,19.96,16.99,4.5,4.95,228.45,247.16,1.56,1.19
