sols_found,runtime_mean,fitness_mean,fitness_std,met_mean,met_std,dur_mean,dur_std,count_mean,count_std
469,405.83,19.45,16.87,4.71,5.02,235.11,250.63,1.69,1.25
407,297.08,18.66,16.54,4.64,4.76,230.54,246.4,1.85,1.23
466,449.49,20.01,17.94,4.42,4.8,217.89,243.18,1.8,1.34
536,415.28,19.16,16.31,4.72,5.03,218.36,240.28,1.73,1.27
474,310.64,19.36,16.69,4.6,4.9,206.93,234.09,1.85,1.3
