sols_found,runtime_mean,fitness_mean,fitness_std,met_mean,met_std,dur_mean,dur_std,count_mean,count_std
389,65.17,19.5,16.28,4.64,4.77,221.93,238.79,1.89,1.28
518,56.29,21.33,17.73,4.56,4.84,212.88,241.54,1.55,1.21
528,56.78,20.02,16.62,4.44,4.76,216.95,241.68,1.58,1.2
477,50.58,20.48,17.36,4.78,4.94,226.21,242.26,1.81,1.25
529,56.4,22.03,17.08,4.55,4.99,205.18,230.95,1.63,1.27
