sols_found,runtime_mean,fitness_mean,fitness_std,met_mean,met_std,dur_mean,dur_std,count_mean,count_std
418,945.13,19.17,16.31,4.68,4.89,224.61,239.13,1.88,1.25
534,1116.03,21.58,17.11,4.56,4.99,206.17,239.8,1.78,1.33
384,1161.45,19.88,17.4,4.7,4.87,231.78,247.4,2.0,1.3
489,1253.05,20.2,17.88,4.62,4.79,218.41,239.98,1.62,1.21
547,1479.88,19.75,16.91,4.46,4.89,193.69,224.83,1.54,1.19
