sols_found,runtime_mean,fitness_mean,fitness_std,met_mean,met_std,dur_mean,dur_std,count_mean,count_std
443,5773.57,18.2,16.41,4.5,4.74,218.91,240.1,1.78,1.3
521,6342.04,20.29,15.71,4.66,4.96,224.63,247.92,1.69,1.26
442,4040.8,19.47,16.48,4.76,4.91,234.56,250.53,1.94,1.36
480,4161.92,19.1,16.29,4.61,4.93,221.64,249.36,1.81,1.25
436,5660.56,19.13,17.2,4.69,4.84,225.95,244.02,1.86,1.31
