sols_found,runtime_mean,fitness_mean,fitness_std,met_mean,met_std,dur_mean,dur_std,count_mean,count_std
474,189.26,19.65,17.66,4.7,5.06,218.63,244.18,1.86,1.27
386,218.39,18.82,17.0,4.54,4.87,224.69,247.4,1.87,1.3
465,209.64,21.19,17.06,4.58,4.83,209.56,238.45,1.75,1.24
500,223.95,21.3,17.36,4.46,4.77,226.63,241.06,1.66,1.28
469,222.29,19.75,17.11,4.63,4.97,196.16,229.17,1.74,1.31
