sols_found,runtime_mean,fitness_mean,fitness_std,met_mean,met_std,dur_mean,dur_std,count_mean,count_std
423,988.59,18.43,15.32,4.65,4.83,212.36,232.69,1.84,1.23
545,1221.77,20.64,16.87,4.7,4.91,204.69,231.01,1.56,1.18
555,964.39,19.92,16.93,4.5,4.81,225.94,243.53,1.61,1.26
520,954.02,20.12,16.32,4.49,4.8,224.52,246.55,1.7,1.28
641,1371.48,20.23,15.83,4.46,4.8,206.09,238.27,1.48,1.19
