sols_found,runtime_mean,fitness_mean,fitness_std,met_mean,met_std,dur_mean,dur_std,count_mean,count_std
416,17.99,19.13,16.75,4.72,5.0,212.0,231.35,1.67,1.17
368,19.51,18.87,16.29,4.63,4.95,219.35,238.69,1.89,1.21
422,18.58,20.04,17.45,4.81,4.98,214.81,236.52,1.87,1.26
404,17.94,20.18,18.19,4.75,4.99,220.05,240.39,1.93,1.27
458,17.38,21.51,17.11,4.49,4.8,216.86,244.66,1.86,1.28
