sols_found,runtime_mean,fitness_mean,fitness_std,met_mean,met_std,dur_mean,dur_std,count_mean,count_std
497,123.36,19.59,16.78,4.33,4.67,214.02,245.62,1.58,1.24
535,131.78,19.88,16.64,4.77,5.09,215.11,235.71,1.63,1.22
563,142.11,19.81,16.09,4.52,4.95,211.6,235.27,1.56,1.23
469,163.7,19.71,17.31,4.57,4.95,214.97,237.97,1.66,1.25
364,133.63,18.46,15.97,4.64,4.8,235.02,251.91,2.04,1.26
